Date,Account,Region,Service,ResourceId,UsageType,UsageAmount,UsageUnit,Cost,Currency,Operation,API,AvailabilityZone,PurchaseOption,MeterId,Project,Environment,Tags,BillingPeriod,InvoiceId
2025-06-06,acct-1001,eu-west-1,EKS,eks-6290,TimedStorage-ByteHrs,770.403,requests,126.788,USD,GetObject,SDK,us-west-2a,Reserved,MID21718,projA,staging,owner:devops,2025-06-01,INV644227
2025-05-22,acct-1003,eu-west-1,SNS,sns-2408,Requests,66.476,requests,7.2817,USD,RunInstances,CLI,us-west-2a,OnDemand,MID63420,projB,dev,team:alpha,2025-05-01,INV504027
2025-01-29,acct-1001,us-east-1,SNS,sns-7682,BoxUsage,607.561,requests,40.4682,USD,DescribeInstances,REST,us-east-1b,OnDemand,MID28579,projB,staging,Unknown,2025-01-01,INV731170
2025-06-30,acct-1002,us-west-2,S3,s3-1203,GB-Months,717.34,GB,135.4078,USD,Invoke,REST,us-east-1b,Reserved,MID84711,projB,staging,owner:devops,2025-06-01,INV329831
2025-09-12,acct-1002,ap-northeast-1,DynamoDB,dynamodb-3357,DataTransfer-Out,459.2524352941177,requests,49.07377651006711,USD,GetObject,SDK,us-east-1b,Reserved,MID23550,projA,prod,team:alpha,2025-09-01,INV143076
2025-09-03,acct-1001,us-east-1,ECR,ecr-6001,DataTransfer-Out,154.596,GB,16.5921,USD,GetObject,CLI,us-east-1a,OnDemand,MID76897,projA,dev,costcenter:42,2025-09-01,INV985482
2025-06-24,acct-1003,us-west-2,CloudFront,cloudfront-1890,Requests,299.449,requests,27.4662,USD,PutObject,CLI,us-west-2a,Spot,MID26730,projC,staging,costcenter:42,2025-06-01,INV753255
2025-06-24,acct-1002,us-west-2,CloudFront,cloudfront-2980,TimedStorage-ByteHrs,432.253,requests,5.2267,USD,DescribeInstances,REST,eu-west-1a,OnDemand,MID62929,projB,prod,Unknown,2025-06-01,INV395426
2025-01-27,acct-1002,ap-northeast-1,DynamoDB,dynamodb-3904,DataTransfer-Out,486.227,requests,49.07377651006711,USD,RunInstances,CLI,eu-west-1a,Spot,MID70042,projA,staging,team:alpha,2025-01-01,INV804818
2025-05-22,acct-1002,us-east-1,CloudFront,cloudfront-1383,GB-Months,459.2524352941177,requests,113.6433,USD,RunInstances,CLI,eu-west-1a,Reserved,MID55848,projB,prod,Unknown,2025-05-01,INV985812
2025-03-30,acct-1003,ap-south-1,DynamoDB,dynamodb-6594,BoxUsage,428.866,requests,46.4376,USD,RunInstances,CLI,eu-west-1a,Spot,MID14663,projB,dev,Unknown,2025-03-01,INV251455
2025-03-29,acct-1003,eu-west-1,SQS,sqs-6421,GB-Months,134.268,requests,3.7843,USD,GetObject,SDK,us-east-1a,Spot,MID75321,projB,staging,team:alpha,2025-03-01,INV311184
2025-05-21,acct-1002,ap-south-1,RDS,rds-5117,DataTransfer-Out,517.303,requests,2.4476,USD,PutObject,SDK,us-west-2a,Spot,MID99152,projA,staging,owner:devops,2025-05-01,INV565024
2025-10-15,acct-1003,us-west-2,RDS,rds-8284,BoxUsage,459.2524352941177,requests,49.07377651006711,USD,PutObject,SDK,us-east-1a,Spot,MID37685,projB,staging,team:alpha,2025-10-01,INV133687
2025-09-28,acct-1003,ap-south-1,EKS,eks-2387,Requests,76.061,requests,10.8655,USD,RunInstances,REST,us-east-1a,OnDemand,MID18096,projA,prod,Unknown,2025-09-01,INV337965
2025-02-28,acct-1003,us-west-2,CloudFront,cloudfront-5143,BoxUsage,977.552,requests,124.4864,USD,DescribeInstances,SDK,us-west-2a,Reserved,MID24904,projA,dev,team:alpha,2025-02-01,INV319561
2025-03-30,acct-1001,us-west-2,EC2,ec2-9005,GB-Months,491.803,hours,74.0651,USD,Invoke,SDK,eu-west-1a,Spot,MID48181,projC,staging,Unknown,2025-03-01,INV224770
2025-06-23,acct-1002,ap-northeast-1,DynamoDB,dynamodb-5819,Requests,90.803,requests,5.8461,USD,RunInstances,REST,eu-west-1a,Reserved,MID13001,projB,dev,costcenter:42,2025-06-01,INV262446
2025-02-21,acct-1002,ap-south-1,DynamoDB,dynamodb-4202,TimedStorage-ByteHrs,449.763,requests,72.1732,USD,PutObject,SDK,us-west-2a,Spot,MID48820,projB,staging,Unknown,2025-02-01,INV441724
2025-10-15,acct-1003,us-west-2,RDS,rds-8284,BoxUsage,678.4,requests,49.07377651006711,USD,PutObject,SDK,us-east-1a,Spot,MID37685,projB,staging,team:alpha,2025-10-01,INV133687
2025-03-24,acct-1001,us-east-1,Lambda,lambda-6358,BoxUsage,172.123,requests,0.4917,USD,DescribeInstances,SDK,us-east-1a,OnDemand,MID93566,projB,dev,Unknown,2025-03-01,INV297382
2025-05-22,acct-1002,us-east-1,CloudFront,cloudfront-1383,GB-Months,969.721,requests,113.6433,USD,RunInstances,CLI,eu-west-1a,Reserved,MID55848,projB,prod,Unknown,2025-05-01,INV985812
2025-04-03,acct-1003,ap-northeast-1,SNS,sns-6747,DataTransfer-Out,8.838,requests,0.529,USD,PutObject,CLI,us-east-1b,Spot,MID63843,projA,prod,Unknown,2025-04-01,INV153264
2025-05-03,acct-1003,eu-west-1,EKS,eks-3236,TimedStorage-ByteHrs,150.579,requests,28.5201,USD,Invoke,REST,us-east-1a,Spot,MID30084,projA,dev,costcenter:42,2025-05-01,INV430634
2025-07-29,acct-1003,ap-northeast-1,RDS,rds-4533,TimedStorage-ByteHrs,721.165,requests,142.7156,USD,DescribeInstances,CLI,us-east-1a,Reserved,MID90319,projC,dev,costcenter:42,2025-07-01,INV244333
2025-10-07,acct-1002,ap-northeast-1,S3,s3-8348,DataTransfer-Out,120.723,GB,49.07377651006711,USD,Invoke,REST,us-west-2a,OnDemand,MID14252,projA,staging,costcenter:42,2025-10-01,INV563664
2025-08-24,acct-1001,ap-south-1,SNS,sns-2177,TimedStorage-ByteHrs,207.286,requests,6.7946,USD,DescribeInstances,SDK,us-west-2a,OnDemand,MID38854,projB,prod,costcenter:42,2025-08-01,INV187015
2025-09-11,acct-1003,ap-south-1,SNS,sns-9215,BoxUsage,294.565,requests,56.606,USD,DescribeInstances,CLI,us-east-1a,Reserved,MID50216,projA,staging,costcenter:42,2025-09-01,INV400689
2025-06-19,acct-1001,us-west-2,ECR,ecr-3550,TimedStorage-ByteHrs,334.146,GB,49.4635,USD,GetObject,CLI,us-east-1a,OnDemand,MID34037,projB,staging,Unknown,2025-06-01,INV995148
2025-02-08,acct-1003,us-east-1,SQS,sqs-8823,GB-Months,27.482,requests,0.5658,USD,Invoke,SDK,eu-west-1a,Spot,MID92266,projA,dev,Unknown,2025-02-01,INV120888
2025-04-28,acct-1001,ap-northeast-1,EKS,eks-6429,Requests,790.95,requests,146.0149,USD,GetObject,SDK,us-east-1b,OnDemand,MID62793,projB,prod,costcenter:42,2025-04-01,INV669825
